id,track names,artists name,artists id,genres
15BQ7vEDv2LJuh8TxWIhtd,The Passenger,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,rock
4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,yacht rock
39q7xibBdRboeMKUbZEB6g,"Take Me Home, Country Roads",John Denver,7EK1bQADBoqbYXnT4Cqv9w,soft rock
0LoQuiekvzqx7n8flgEKzF,Get It On,T. Rex,3dBVyJ7JuOMt4GE9607Qin,rock
7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,rock
2eF8pWbiivYsYRpbntYsnc,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,soul
6QhXQOpyYvbpdbyjgAqKdY,Cecilia,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,rock
26mlDJoh5bQiC7efK7xq9z,Sealed with a Kiss,Bobby Vinton,6bOYtKnpLPQSfMpS2ilotK,rock-and-roll
5RdhBLmB4DyFHLglRrfx63,I'll Be There,The Jackson 5,2iE18Oxc8YSumAU232n4rW,motown
0UAJH0k4k3slcE83a9UGCe,Lola,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,roots rock
6UkMcAA19lTdjs22jtB7o2,Big Yellow Taxi,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,traditional folk
6Xz7FeyE8HTP90HecgHV57,Wild World,Yusuf / Cat Stevens,08F3Y3SctIlsOEmKd6dnH8,soft rock
6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,rock
4ZEEcEMGjkWOfZNBcIB9yE,War,Edwin Starr,1B8AXU6gIIafpyLEpbcv1u,southern soul
5LxvwujISqiB8vpRYv887S,I Want You Back,The Jackson 5,2iE18Oxc8YSumAU232n4rW,motown
3Bh6uInhcVBVvLraGZdkKD,Who'll Stop The Rain,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,swamp rock
2kyVQg00pphEufGT59M2XH,(They Long To Be) Close To You,Carpenters,1eEfMU2AhEo7XnKgL7c304,soft rock
0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,The Who,67ea9eGLXYMsO2eYQRui3w,roots rock
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,3PhoLpVuITZKcymswpck5b,soft rock
34b3a3Pz9Jlz0092LMyNAB,What's Going On,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,soul
6D8kc7RO0rqBLSo2YPflJ5,ABC,The Jackson 5,2iE18Oxc8YSumAU232n4rW,motown
0qdQUeKVyevrbKhAo0ibxS,My Sweet Lord - Remastered 2014,George Harrison,7FIoB5PHdrMZVC3q2HE5MS,soft rock
6rovOdp3HgK1DeAMYDzoA7,Maggie May,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,soft rock
3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,67ea9eGLXYMsO2eYQRui3w,roots rock
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,soul
14XWXWv5FoCbFzLksawpEe,Riders on the Storm,The Doors,22WZ7M8sxp5THdruNY3gXt,rock
38zsOOcu31XbbYj9BIPUF1,Your Song,Elton John,3PhoLpVuITZKcymswpck5b,soft rock
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,swamp rock
3wM6RTAnF7IQpMFd7b9ZcL,Yesterday Once More,Carpenters,1eEfMU2AhEo7XnKgL7c304,soft rock
3BqqF8suAIzW8655yJfcvh,Morning Has Broken,Yusuf / Cat Stevens,08F3Y3SctIlsOEmKd6dnH8,soft rock
7MiLmLbwNoyf47xQ4TCVYp,Papa Was A Rollin' Stone - Single Version,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,soul
5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,singer-songwriter
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,Elton John,3PhoLpVuITZKcymswpck5b,soft rock
3M8FzayQWtkvOhqMn2V4T2,Lean on Me,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,soul
63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,Al Green,3dkbV4qihUeMsqN4vBGg93,southern soul
