id,track names,artists name,artists id,track acousticness,track danceability,track duration_ms,track energy,track instrumentalness,track key,track liveness,track loudness,track mode,track speechiness,track time_signature,track valence,genres
39lnzOIUCSNaQmgBHoz7rt,Everyday,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,0.584,0.747,129120,0.219,2.57e-05,3,0.107,-12.562,1,0.0371,4,0.498,rockabilly
1pZn8AX1WulW8IO338hE5D,Blue Moon,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,0.982,0.639,207827,0.269,0.12,8,0.141,-11.435,1,0.0698,4,0.539,vocal jazz
5vjigjfoXuJEttqLB3HTAg,Personality,Lloyd Price,3iOE5ItEv5xr9fmKi7GNh2,0.744,0.591,157733,0.454,0.0,5,0.0989,-8.936,1,0.0322,4,0.865,rockabilly
3koJ1vDWEITIrfMlNaHIu3,Living Doll - 2003 Remaster,Cliff Richard & The Drifters,1yAdL4L8voXQspjN6rdj4b,0.527,0.572,156787,0.463,0.0,9,0.0958,-7.782,1,0.0517,4,0.764,rock-and-roll
1ZWIQXfAquWtLDK5aOUczS,Summertime Blues,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,0.125,0.717,119360,0.883,0.167,9,0.176,-8.686,0,0.0608,4,0.942,rockabilly
307XEC1IUwUs9ojlEFwH7f,Smoke Gets In Your Eyes,The Platters,6KWcxMWVNVIYbdOQyJtsSy,0.944,0.29,157293,0.227,7.95e-05,3,0.617,-13.06,1,0.0311,4,0.224,rockabilly
3mKdw0slI6wmnb1FBrvwn2,I Get A Kick Out Of You,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,0.555,0.395,194093,0.375,0.0,5,0.576,-10.966,0,0.0381,4,0.775,lounge
2bFZSvstZf6xX8h69F7Bvf,Maybellene,Chuck Berry,293zczrfYafIItmnmM3coR,0.814,0.763,140759,0.809,0.0,9,0.162,-10.437,0,0.0811,4,0.709,soul
2JoXjemDQe0fSmk26CpfrP,"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,0.159,0.671,150467,0.679,0.0,5,0.158,-11.237,1,0.142,4,0.82,rockabilly
2iXcvnD3d1gfLBum0cE5Eg,Tutti Frutti,Little Richard,4xls23Ye9WR9yy3yYMpAMm,0.793,0.555,144227,0.658,0.0,5,0.118,-3.866,1,0.0541,4,0.937,soul
65DHarvIY5nZ57ZcgTxx75,It's All In The Game,Tommy Edwards,1ObAu0tz0NlOI6FNHTXchD,0.845,0.546,158053,0.167,0.0181,3,0.127,-16.085,1,0.0308,4,0.628,doo-wop
5y3gqKswDeU8pJ878YFPUy,Autumn in New York - 2003 Remastered Version,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,0.963,0.544,221413,0.132,8.59e-05,7,0.101,-11.735,0,0.0477,4,0.286,vocal jazz
603N4XGJUTbK760GLCvIIs,Come Softly To Me,The Fleetwoods,673J686eeEXMYJorgQ70lX,0.93,0.601,144933,0.095,0.000285,1,0.116,-18.478,1,0.0374,4,0.672,vocal harmony group
3ZR0us36Z8kgBXFMYkhugR,Summertime,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,0.906,0.2,299067,0.11,0.000153,6,0.0959,-16.646,0,0.0357,5,0.162,vocal jazz
3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,0.452,0.585,223760,0.247,8.85e-06,1,0.107,-12.612,1,0.04,4,0.591,lounge
49vvBOlcnR3X4ArmnZMPL3,Roll Over Beethoven,Chuck Berry,293zczrfYafIItmnmM3coR,0.81,0.713,144600,0.793,0.0,3,0.198,-10.138,1,0.21,4,0.804,soul
3iskX6pzPZOyUNoVCQ7oMz,Baby (You've Got What It Takes),Dinah Washington,32LHRiof0sa4taYew9i3Fa,0.851,0.69,164400,0.508,0.000185,8,0.496,-9.92,1,0.0469,4,0.818,vocal jazz
63NmQTtxQLHSRp7li6aAmP,Chances Are - Single Version,Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,0.897,0.31,181400,0.254,3.25e-06,10,0.107,-12.2,1,0.0343,1,0.296,vocal jazz
6sBPjgvLZzHHrpxbBDjmdE,Not Fade Away,The Crickets,4r7JUeiYy24L7BuzCq9EjR,0.835,0.799,142773,0.475,0.0,9,0.275,-13.142,1,0.0413,4,0.92,rockabilly
7hxZF4jETnE5Q75rKQnMjE,I Walk the Line,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,0.877,0.713,176533,0.258,0.00606,9,0.0967,-14.59,1,0.0384,4,0.56,outlaw country
6Em0JcoORXzv0BGfxAacpv,It's Only Make Believe - Single Version,Conway Twitty,7gi3jmwpUpNWdswT8eEprF,0.887,0.542,132107,0.531,0.0011,11,0.127,-6.698,1,0.0384,4,0.344,country rock
2HyPrPSANTIPkR6CfiytwY,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,3ESG6pj6a0LvUKklENalT6,0.921,0.386,223373,0.125,6.42e-06,0,0.0919,-17.695,1,0.0394,4,0.254,vocal jazz
6h7QjxbS5XbfGIe0Oxij61,Chantilly Lace - Single Version,The Big Bopper,2gNK2HAaLVz5DZoD2moDQj,0.83,0.45,143040,0.668,0.00694,0,0.0857,-9.455,0,0.0968,3,0.829,rockabilly
47gmoUrZV3w20JAnQOZMcO,Blue Suede Shoes,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,0.654,0.557,119200,0.66,1.66e-06,2,0.138,-7.706,1,0.056,4,0.962,rockabilly
4tmy6FB76bR5eLmx0zO1mn,Pennies From Heaven,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,0.452,0.515,141667,0.408,0.0,8,0.0682,-11.96,1,0.194,4,0.915,vocal jazz
2CeqxyOZEyiL6pTDYZ9gPH,Fever,Peggy Lee,602DnpaSXJB4b9DZrvxbDc,0.0906,0.742,201333,0.0899,0.0,9,0.113,-19.187,0,0.158,4,0.351,vocal jazz
7j2OoTiQHGLRLSfqISKKY6,Born Too Late,The Poni-Tails,2NbPfkf3TYSRoJ64inF0AN,0.672,0.501,136827,0.311,0.000125,4,0.174,-9.62,1,0.0251,4,0.818,vocal harmony group
1eqGYJJr2z2GXK1i0hD3BC,Love Letters In The Sand - Single Version,Pat Boone,7fmKtIgmxqNEKjATioVNsu,0.811,0.571,134560,0.196,0.0,3,0.142,-13.216,1,0.0278,4,0.555,rockabilly
0SfreyN9i8MPgrtYS5PCjg,Maybe Baby,The Crickets,4r7JUeiYy24L7BuzCq9EjR,0.714,0.602,121133,0.597,0.0,9,0.0863,-7.73,1,0.0303,4,0.866,rockabilly
64Ny7djQ6rNJspquof2KoX,Hound Dog,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,0.733,0.357,136027,0.756,0.00505,0,0.76,-8.492,1,0.0621,4,0.95,rockabilly
4vDEkER6ToECKrxiPzE2Tp,Move It - 2002 Remaster,Cliff Richard & The Drifters,1yAdL4L8voXQspjN6rdj4b,0.692,0.625,141813,0.852,0.000487,4,0.293,-4.83,1,0.0341,4,0.931,rock-and-roll
49E8SDVZ7BUyNAZZYfZdRx,Lucille,Little Richard,4xls23Ye9WR9yy3yYMpAMm,0.336,0.682,142400,0.839,0.000571,6,0.17,-9.186,1,0.0466,4,0.953,soul
0DXm5n7SBxCED9ssTvrx2J,Buona Sera - Remastered,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,0.777,0.547,187200,0.3,0.0,3,0.0653,-13.973,1,0.107,4,0.811,vocal jazz
1V4NaFlrUCK49MXcdOcVeS,They Can't Take That Away From Me,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,0.87,0.563,280000,0.136,0.0,3,0.106,-17.402,1,0.0683,4,0.368,vocal jazz
4M1wetsQ0kt4WjAsFRPSfE,Magic Moments,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,0.922,0.714,161855,0.253,4.91e-06,0,0.173,-15.16,0,0.0433,4,0.695,easy listening
